gas	8192	0.0003	3	500	2	7.134619807691856	7.142112002957174	7.139280316711974
2spirals	512	0.0003	31	500	2	1.7054430989583333	1.7354861979166667	1.7340614583333334
2spirals	512	0.0003	33	500	0	1.7204446614583333	1.7343776041666668	1.7260174479166666
power	8192	0.0003	29	500	1	-0.25393886411188027	-0.250140907535175	-0.239618609950812
8gaussians	512	0.0003	11	500	1	1.420062109375	1.4197454427083334	1.4174971354166668
power	8192	0.0003	9	500	1	0.17629081755292583	0.17757014878209126	0.1889238423068102
miniboone	512	0.0003	11	500	1	38.23657632967925	38.225289757155906	38.294138055098685
power	8192	0.0003	19	500	2	-0.11008255608563561	-0.10864297127036625	-0.0961409407358926
miniboone	512	0.0003	5	500	1	43.00411084043849	42.83096071863581	42.99042283442982
2spirals	512	0.0003	13	500	1	1.834783203125	1.8316868489583333	1.8372376302083333
power	8192	0.0003	5	500	2	0.38419270361108415	0.3807725282619893	0.3953947011267372
power	8192	0.0003	27	500	2	-0.2572718056083527	-0.2541133012646732	-0.24308604348234503
checkerboard	512	0.0003	37	500	0	1.8576118489583333	1.85622109375	1.8590563802083333
power	8192	0.0003	7	500	1	0.21907650352397137	0.21965618815571883	0.23156806902912241
miniboone	512	0.0003	23	500	2	35.41284341588848	35.68861335261876	35.79908939830044
checkerboard	512	0.0003	33	500	0	1.84630390625	1.8478095052083334	1.85074609375
hepmass	8192	0.0003	21	500	1	23.133032181084847	23.195930797132494	23.18705675278735
power	8192	0.0003	17	500	1	-0.09033850600662563	-0.0871170578811641	-0.07628027339937686
gas	8192	0.0003	31	500	2	-1.6622302194152838	-1.6613623462005598	-1.6826880120905652
gas	8192	0.0003	29	500	1	-1.3658846374097309	-1.3576288317843375	-1.3811274131228257
power	8192	0.0003	27	500	1	-0.2062349917194655	-0.20301014330929595	-0.191273104913677
2spirals	512	0.0003	5	500	2	2.2121916666666666	2.21281171875	2.2207859375
miniboone	512	0.0003	3	500	1	47.242142035458116	47.02682513702801	47.1457733689693
checkerboard	512	0.0003	13	500	1	1.836496484375	1.8318260416666667	1.833129296875
checkerboard	512	0.0003	21	500	0	1.8275881510416667	1.8269	1.827046484375
2spirals	512	0.0003	19	500	2	1.7945770833333334	1.79569609375	1.790003515625
2spirals	512	0.0003	23	500	0	1.7561868489583334	1.7581420572916666	1.7523936197916667
miniboone	512	0.0003	13	500	1	37.548420794424146	37.58957968559683	37.659727933114034
miniboone	512	0.0003	9	500	2	39.32435461496819	39.19623553593179	39.36912777549342
gas	8192	0.0003	25	500	0	-0.842538319638947	-0.8393343718646037	-0.8611183059901526
gas	8192	0.0003	29	500	2	-1.5478320742008087	-1.5338848880498495	-1.5637108684390624
checkerboard	512	0.0003	29	500	2	1.824405078125	1.8206365885416667	1.8211899739583333
2spirals	512	0.0003	9	500	2	1.9894014322916667	1.9885854166666668	1.9838502604166666
gas	8192	0.0003	17	500	0	0.3885502696632378	0.40532798720758306	0.3680253279874722
checkerboard	512	0.0003	11	500	1	1.843298828125	1.8419579427083332	1.840232421875
8gaussians	512	0.0003	13	500	2	1.4195813802083332	1.42236171875	1.41419140625
checkerboard	512	0.0003	19	500	0	1.8403868489583333	1.8387779947916667	1.8384358072916667
power	8192	0.0003	25	500	0	-0.22303361026485058	-0.22053937532192913	-0.2089127225476753
2spirals	512	0.0003	33	500	1	1.7389407552083334	1.7306372395833334	1.739844140625
miniboone	512	0.0003	37	500	0	34.433348981594264	35.1184578638855	35.348185221354164
miniboone	512	0.0003	25	500	2	35.19259625795101	35.499776377892815	35.6864656147204
miniboone	512	0.0003	15	500	1	36.89000964271214	36.96742492006699	37.08395439281798
gas	8192	0.0003	15	500	0	1.2818253666504729	1.2890509485398955	1.267662965990533
power	8192	0.0003	11	500	1	0.06508114374092198	0.06407681207979776	0.079190746833949
2spirals	512	0.0003	5	500	0	2.2360828125	2.2425270833333335	2.248802604166667
power	8192	0.0003	13	500	1	-0.04952828119568629	-0.0485278784276981	-0.03513554436649701
miniboone	512	0.0003	13	500	2	37.629153133035594	37.60191458587089	37.79161955180921
hepmass	8192	0.0003	7	500	1	24.08743411302888	24.125476608688203	24.114428500402887
checkerboard	512	0.0003	27	500	1	1.8564084635416667	1.8584983072916668	1.858353515625
hepmass	8192	0.0003	5	500	0	24.453218267152828	24.47736197983606	24.47373804911222
2spirals	512	0.0003	29	500	2	1.7305895833333333	1.7314764322916667	1.7278928385416668
2spirals	512	0.0003	31	500	0	1.7180048177083334	1.732647265625	1.729444140625
gas	8192	0.0003	7	500	2	5.692274113033254	5.706584332259598	5.690159068874399
2spirals	512	0.0003	17	500	0	1.8073881510416667	1.8065442708333332	1.8091123697916667
power	8192	0.0003	3	500	0	1.1621769341479122	1.1623852915661343	1.175795279317614
gas	8192	0.0003	23	500	1	-0.45151390003684694	-0.43342885290700744	-0.4592888371979735
8gaussians	512	0.0003	3	500	2	1.4190153645833334	1.423404296875	1.4322243489583333
2spirals	512	0.0003	37	500	0	1.72121484375	1.7290078125	1.7308403645833332
gas	8192	0.0003	21	500	0	-0.1949063512850662	-0.19091289951549875	-0.21292985235514134
miniboone	512	0.0003	21	500	0	35.711272668832045	35.95731672503045	36.11806983278509
hepmass	8192	0.0003	5	500	2	24.42160838783586	24.44517750549796	24.444458731220035
power	8192	0.0003	21	500	2	-0.15089408461386924	-0.14859553120001626	-0.1378489201847722
2spirals	512	0.0003	25	500	0	1.7455044270833333	1.73841953125	1.7411147135416667
checkerboard	512	0.0003	33	500	1	1.820916015625	1.8212923177083333	1.8245983072916667
